"Year","pop","stock","prod","tot.land","ag.land","un.land","pc.supply","yield","pgrowth","agrowth","bfcn"
1982,4.617386542,3.4119512443,5.241836,13.0415863,4.68575445,0,0.738935589053398,1.11867492330931,1.77187210432486,0.38027695315739,1.31566254133582
1983,4.699569304,3.49794246627,5.165224,13.0415783,4.694551,0,0.744311284715549,1.10025942843096,1.77985449674747,0.187729640847902,0.904883629657294
1984,4.784011621,3.58202630954,5.461529,13.0414254,4.7247246,0,0.74874950006732,1.15594652860825,1.79680969760629,0.642736653622473,1.88375817486274
1985,4.87092174,3.77241263028,5.518707,13.0414134,4.756261777,0,0.774476132371612,1.16030346073191,1.81667867650022,0.667492386752017,1.94129533041786
1986,4.960567912,3.8421784507,5.591934,13.0414224,4.760868412,0,0.774544068110724,1.17456176396417,1.84043548192994,0.0968541097186129,0.718560126108098
1987,5.052522147,3.94651265484,5.65552,13.0414124,4.77653302,0,0.781097546931742,1.18402196244003,1.8537037821326,0.329028375590394,1.21913012492491
1988,5.145426008,4.01066829292,5.611477,13.0414104,4.79373272,0,0.779462825174106,1.17058612312453,1.83876207361434,0.360087534786893,1.28844126751417
1989,5.237441558,4.02553339266,5.87635,13.0413114,4.80573422,0,0.768606837533327,1.22277881609524,1.78829799237102,0.250358138448741,1.05464433035858
1990,5.327231061,4.09591871431,6.023144,13.0413104,4.81809572,0,0.768864475261025,1.25010882930321,1.71437718217303,0.257223962751729,1.07136168840061
1991,5.414289444,4.08687340379,5.987852,13.0413204,4.8227984665,0,0.754830979403768,1.24157209586771,1.63421451037377,0.0976059168040038,0.728981602319722
1992,5.498919809,4.11218200404,6.165449,12.9970157,4.8609861,3.390623694,0.747816325182566,1.26835355484765,1.56309273590435,0.791814830440412,2.22826707146723
1993,5.581597546,4.18946309739,6.094437,12.9966447,4.84443502,3.390591789,0.75058494684776,1.25802843362321,1.50352687203553,-0.340488116186964,-0.211701857883703
1994,5.663150427,4.29205990207,6.220469,12.9954414,4.86421572,3.390656616,0.757892617792192,1.27882260123118,1.46110285322244,0.408317996181939,1.40438496326682
1995,5.744212979,4.43397332298,6.36388,12.9951464,4.86258092,3.392064954,0.771902667813668,1.30874531544043,1.43140382804457,-0.0336087068112126,0.451866624462033
1996,5.824891951,4.53164080121,6.700341,12.9951023,4.87291928,3.39252831,0.777978516911721,1.37501579956399,1.4045261255972,0.212610549214273,0.984518071468324
1997,5.905045788,4.63484821456,6.800829,13.0020362,4.89337774,3.392331912,0.78489623636429,1.38980257837197,1.37605706121705,0.419839911651471,1.43464520200703
